Site_Code,Site_Name,Site_Status,Country,CP2 Region,Area_ha,Longitude,Latitude,Established_Date,Agency,WDPA_Code,source_file,mpa_type,load_timestamp,Pre-Designation Code,Non-marine interest features,cSAC Established Date,SCI Confirmation Date,SAC Designation Date
UKMCZ0078,Holderness Offshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,117611.228798106,0.4393120334,53.8184122588999,20-05-2019,JNCC and NE,555691634.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0079,Inner Bank,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,19902.861069307,0.8806747744,50.7343857748,20-05-2019,JNCC and NE,555691635.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0080,Kentish Knock East,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,9639.28447959709,1.7983551307,51.6650974955,20-05-2019,JNCC and NE,555691672.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0084,Markham's Triangle,MCZ - Secretary of State,England offshore,Southern North Sea,20010.4151655878,2.7350957147,53.9425545344999,20-05-2019,JNCC,555691638.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0024,North East of Farnes Deep,MCZ - Secretary of State,England offshore,Northern North Sea,49200.0,-0.6137982206,55.7570319507,21-11-2013,JNCC,555583028.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA025,North-east Faroe-Shetland Channel,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,2368200.0,-0.8625,62.5986111,23-07-2014,JNCC,555583056.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0085,North-East of Haig Fras,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,46375.2179266282,-7.0228798968,50.7498910178999,20-05-2019,JNCC,555691639.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0048,North-West of Jones Bank,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,39781.07,-8.193558,49.915078,12-01-2016,JNCC,555593954.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA019,North-west Orkney,NCMPA,Scotland inshore & Scotland offshore,Scottish Continental Shelf,436500.0,-3.1488889,59.515,23-07-2014,JNCC,555583050.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA026,Norwegian Boundary Sediment Plain,NCMPA,Scotland offshore,Northern North Sea,16400.0,1.7280556,58.0758333,23-07-2014,JNCC,555583057.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0049,Offshore Brighton,MCZ - Secretary of State,England offshore,Eastern Channel,86164.66,-0.591723,50.263387,12-01-2016,JNCC,555622030.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0044,Offshore Overfalls,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,59458.17,-0.722124,50.494501,12-01-2016,JNCC and NE,555622031.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0081,Orford Inshore,MCZ - Secretary of State,England inshore & England offshore,Southern North Sea,7201.7105028892,1.8840889529,52.0931919936,20-05-2019,JNCC and NE,555691673.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0086,Queenie Corner,MCZ - Secretary of State,Northern Ireland offshore,Irish Sea,14591.7071307635,-5.2192106256,53.8252925146,20-05-2019,JNCC,555691640.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0022,South Dorset,MCZ - Secretary of State,England inshore & England offshore,Eastern Channel,19264.34371,-2.2138888889,50.3863888889,21-11-2013,JNCC and NE,555583026.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0087,South of Celtic Deep,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,27818.8598528978,-6.5941413751,50.9034481978,20-05-2019,JNCC,555691641.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0082,South of the Isles of Scilly,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,13219.1760095572,-6.2122050847,49.6901672495,20-05-2019,JNCC and NE,555691636.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0088,South Rigg,MCZ - Secretary of State,Northern Ireland offshore,Irish Sea,14108.2577067015,-5.0014891886,54.385058485,20-05-2019,JNCC,555691642.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0083,South West Approaches to the Bristol Channel,MCZ - Secretary of State,England inshore & England offshore,Western Channel and Celtic Sea,112807.492662173,-5.2714488089,50.7686465035,20-05-2019,JNCC and NE,555691637.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0089,South West Deeps (East),MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,465505.511148608,-8.76567100099999,48.8565645301,20-05-2019,JNCC,555691643.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0025,South-West Deeps (West),MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,182400.0,-9.034761208,49.1551717809,21-11-2013,JNCC,555559211.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0026,Swallow Sand,MCZ - Secretary of State,England offshore,Northern North Sea,474600.0,0.6611735792,55.7502425068,21-11-2013,JNCC,555583030.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA028,The Barra Fan and Hebrides Terrace Seamount,NCMPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,437300.0,-9.6966667,56.5813889,23-07-2014,JNCC,555583059.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0027,The Canyons,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,66100.0,-9.6797863087,48.3333896952,21-11-2013,JNCC,555583031.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA029,Turbot Bank,NCMPA,Scotland offshore,Northern North Sea,25100.0,-0.8825,57.39,23-07-2014,JNCC,555583060.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0090,West of Copeland,MCZ - Secretary of State,England offshore,Irish Sea,15774.1486337571,-3.8692091019,54.1891796287,20-05-2019,JNCC,555691644.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMPA0001,West of Scotland ,MPA,Scotland offshore,Atlantic North-West Approaches & Scottish Continental Shelf,10771800.0,-11.187777,58.595647,25-09-2020,JNCC,555703191.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0045,West of Walney,MCZ - Secretary of State,England inshore & England offshore,Irish Sea,38776.84945,-3.5354892402,54.0715000795,12-01-2016,JNCC and NE,555622037.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0091,West of Wight-Barfleur,MCZ - Secretary of State,England offshore,Eastern Channel,13760.262997247,-2.1543278426,50.1772977422999,20-05-2019,JNCC,555691645.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKNCMPA030,West Shetland Shelf,NCMPA,Scotland offshore,Scottish Continental Shelf,408300.0,-4.9180556,59.5413889,23-07-2014,JNCC,555583061.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKMCZ0050,Western Channel,MCZ - Secretary of State,England offshore,Western Channel and Celtic Sea,161351.21759,-4.807144,49.418553,12-01-2016,JNCC,555622038.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UKEHPMA002,Dolphin Head,HPMA (MCZ),England offshore,Eastern Channel,46580.0,-0.664222,50.18714,2023-06-14 00:00:00,JNCC,555785806.0,UKOffshoreMPAs.xlsx,Offshore MPA,2025-08-05T13:26:43.314100,,,,,
UK9003091,Ailsa Craig,SPA,Scotland inshore,Irish Sea,2759.53,-5.115833333,55.2525,1990-04-01 00:00:00,NatureScot,555556911.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009112,Alde-Ore Estuary,SPA,England inshore,Southern North Sea,2403.5,1.5508,52.0828,1996-10-01 00:00:00,NE,127889.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9013061,Anglesey Terns / Morwenoliaid Ynys Môn,SPA,Wales inshore,Irish Sea,101931.08,-4.601,53.447,1992-06-01 00:00:00,NRW,555786241.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9014091,Bae Caerfyrddin/ Carmarthen Bay,SPA,Wales inshore,Western Channel and Celtic Sea,33450.26,-4.4864,51.6467,2003-06-01 00:00:00,NRW,555786254.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9020101,Belfast Lough,SPA,Northern Ireland inshore,Irish Sea,428.64,-5.9,54.6333,1998-08-01 00:00:00,DAERA,220045.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9020290,Belfast Lough Open Water,SPA,Northern Ireland inshore,Irish Sea,5591.73,-5.816666667,54.68333333,2009-09-01 00:00:00,DAERA,555556928.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009171,Benfleet and Southend Marshes,SPA,England inshore,Southern North Sea,2283.94,0.683333333,51.52833333,1994-02-01 00:00:00,NE,555556932.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009245,Blackwater Estuary (Mid-Essex Coast Phase 4),SPA,England inshore,Southern North Sea,4403.38,0.866388889,51.75361111,1995-05-01 00:00:00,NE,555556935.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9020312,Bluemull and Colgrave Sounds,SPA,Scotland inshore,Northern North Sea,3823.27,-1.000729,60.627,2020-12-03 00:00:00,NatureScot,555787426.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009181,Breydon Water,SPA,England inshore,Southern North Sea,1203.05,1.621666667,52.58416667,1996-03-01 00:00:00,NE,127890.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9002491,Buchan Ness to Collieston Coast,SPA,Scotland inshore,Northern North Sea,5400.76,-1.835,57.40083333,1998-03-01 00:00:00,NatureScot,555556942.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9015011,Burry Inlet,SPA,Wales inshore,Western Channel and Celtic Sea,6672.95,-4.176944444,51.64861111,1992-07-01 00:00:00,NRW,68296.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002431,Calf of Eday,SPA,Scotland inshore,Scottish Continental Shelf,2671.77,-2.724166667,59.24361111,1998-06-01 00:00:00,NatureScot,555556944.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001431,Canna and Sanday,SPA,Scotland inshore,Minches and Western Scotland,6567.58,-6.541944444,57.05416667,1998-02-01 00:00:00,NatureScot,555556945.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001231,Cape Wrath,SPA,Scotland inshore,Minches and Western Scotland & Scottish Continental Shelf,6734.48,-4.942222222,58.61361111,1996-03-01 00:00:00,NatureScot,555556946.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9020161,Carlingford Lough,SPA,Northern Ireland inshore,Irish Sea,826.91,-6.12,54.05111111,1998-03-01 00:00:00,DAERA,220048.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9010091,Chesil Beach and The Fleet,SPA,England inshore,Eastern Channel,747.37,-2.539,50.619,1985-07-01 00:00:00,NE,555556951.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9011011,Chichester and Langstone Harbours,SPA,England inshore,Eastern Channel,5810.95,-0.92,50.80638889,1987-10-01 00:00:00,NE,68274.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9020310,Coll and Tiree,SPA,Scotland inshore,Minches and Western Scotland,79475.15,-6.769511,56.599,2020-12-03 00:00:00,NatureScot,555786375.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009243,Colne Estuary (Mid-Essex Coast Phase 2),SPA,England inshore,Southern North Sea,2719.93,0.96,51.81583333,1994-07-01 00:00:00,NE,555556953.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9002151,Copinsay,SPA,Scotland inshore,Scottish Continental Shelf,3607.7,-2.684722222,58.89777778,1994-03-01 00:00:00,NatureScot,555581012.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9006031,Coquet Island,SPA,England inshore,Northern North Sea,19.78,-1.5372,55.335,1985-07-01 00:00:00,NE,555637373.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001623,Cromarty Firth,SPA,Scotland inshore,Northern North Sea,3247.96,-4.082,57.723,1999-03-01 00:00:00,NatureScot,220049.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9009244,Crouch and Roach Estuaries (Mid-Essex Coast Phase 3),SPA,England inshore,Southern North Sea,1847.87,0.687,51.634,1998-06-01 00:00:00,NE,555556961.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009261,Deben Estuary,SPA,England inshore,Southern North Sea,981.08,1.345555556,52.04194444,1996-03-01 00:00:00,NE,127891.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009242,Dengie (Mid-Essex Coast Phase 1),SPA,England inshore,Southern North Sea,3133.94,0.959444444,51.69055556,1994-03-01 00:00:00,NE,555556967.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001622,Dornoch Firth and Loch Fleet,SPA,Scotland inshore,Northern North Sea,6513.27,-4.116,57.836,1997-03-01 00:00:00,NatureScot,166871.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9012091,"Dungeness, Romney Marsh and Rye Bay",SPA,England inshore,Eastern Channel,42417.53,0.835,50.891,1999-08-01 00:00:00,NE,555637374.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9020284,Dyfi Estuary / Aber Dyfi,SPA,Wales inshore,Irish Sea,2056.5,-3.9844,52.5447,2001-06-01 00:00:00,NRW,555637375.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001182,East Caithness Cliffs,SPA,Scotland inshore,Northern North Sea,11696.38,-3.363,58.264,1996-03-01 00:00:00,NatureScot,555583033.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9020311,East Mainland Coast Shetland,SPA,Scotland inshore,Northern North Sea,23333.23,-1.151551,60.21912,2020-12-03 00:00:00,NatureScot,18953.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002331,East Sanday Coast,SPA,Scotland inshore,Scottish Continental Shelf,1508.2,-2.492,59.26,1997-08-01 00:00:00,NatureScot,220057.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9010081,Exe Estuary,SPA,England inshore,Eastern Channel,2366.84,-3.442222222,50.64722222,1992-03-01 00:00:00,NE,68293.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002091,Fair Isle,SPA,Scotland inshore,Scottish Continental Shelf,6825.1,-1.628055556,59.53111111,1994-12-01 00:00:00,NatureScot,555556987.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9020323,Falmouth Bay to St Austell Bay,SPA,England inshore,Western Channel and Celtic Sea,25898.62,-4.865,50.204,2017-10-01 00:00:00,NE,555637376.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9006021,Farne Islands,SPA,England inshore,Northern North Sea,101.23,-1.6486,55.6203,1985-07-01 00:00:00,NE,555581319.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002031,Fetlar,SPA,Scotland inshore,Northern North Sea,16964.69,-0.855555556,60.60388889,1994-03-01 00:00:00,NatureScot,555556992.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9004411,Firth of Forth,SPA,Scotland inshore,Northern North Sea,6317.93,-2.651,56.058,2001-10-01 00:00:00,NatureScot,900634.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9006101,Flamborough and Filey Coast,SPA,England inshore,Northern North Sea & Southern North Sea,7857.99,-0.1792,54.1658,1993-03-01 00:00:00,NE,555786385.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001021,Flannan Isles,SPA,Scotland inshore,Scottish Continental Shelf,5832.82,-7.607222222,58.28083333,1992-08-01 00:00:00,NatureScot,555556999.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9004171,Forth Islands,SPA,Scotland inshore,Northern North Sea,9797.01,-2.564,56.186,1990-04-01 00:00:00,NatureScot,555557001.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002061,Foula,SPA,Scotland inshore,Scottish Continental Shelf,7985.49,-2.078611111,60.13416667,1995-11-01 00:00:00,NatureScot,555557002.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009246,Foulness (Mid-Essex Coast Phase 5),SPA,England inshore,Southern North Sea,10940.64,0.921388889,51.57388889,1996-10-01 00:00:00,NE,555557003.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002271,Fowlsheugh,SPA,Scotland inshore,Northern North Sea,1303.23,-2.182222222,56.91666667,1992-08-01 00:00:00,NatureScot,555581016.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9008022,Gibraltar Point,SPA,England inshore,Southern North Sea,422.2,0.3378,53.1,1993-03-01 00:00:00,NE,134955.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9013121,Glannau Aberdaron ac Ynys Enlli/ Aberdaron Coast and Bardsey Island,SPA,Wales inshore,Irish Sea,33942.42,-4.789,52.7559,1992-06-01 00:00:00,NRW,555786248.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9014041,Grassholm,SPA,Wales inshore,Western Channel and Celtic Sea,1774.42,-5.4798,51.7311,1986-01-01 00:00:00,NRW,555580934.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9020329,Greater Wash,SPA,England inshore & England offshore,Southern North Sea,353577.86,0.7264,53.2356,2018-03-01 00:00:00,JNCC and NE,555637378.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9003051,"Gruinart Flats, Islay",SPA,Scotland inshore,Minches and Western Scotland,3262.13,-6.327,55.847,1988-07-01 00:00:00,NatureScot,68278.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9009131,Hamford Water,SPA,England inshore,Southern North Sea,3532.55,1.2877,51.8794,1993-06-01 00:00:00,NE,68303.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001241,Handa,SPA,Scotland inshore,Minches and Western Scotland,3205.61,-5.2025,58.38194444,1990-04-01 00:00:00,NatureScot,555557016.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,Yes,,,
UK9002011,"Hermaness, Saxa Vord and Valla Field",SPA,Scotland inshore,Northern North Sea & Scottish Continental Shelf,6832.36,-0.901388889,60.82833333,1994-03-01 00:00:00,NatureScot,555557021.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9002141,Hoy,SPA,Scotland inshore,Scottish Continental Shelf,18123.91,-3.343055556,58.85861111,2000-12-01 00:00:00,NatureScot,555557028.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9003061,Inner Clyde Estuary,SPA,Scotland inshore,Irish Sea,1813.72,-4.633333333,55.94722222,2000-03-01 00:00:00,NatureScot,220094.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9001624,Inner Moray Firth,SPA,Scotland inshore,Northern North Sea,2290.25,-4.358,57.484,1999-03-01 00:00:00,NatureScot,220061.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
UK9020328,Irish Sea Front,SPA,Wales offshore,Irish Sea,18000.0,-5.061,53.702,2017-10-01 00:00:00,JNCC,555637379.0,UKSPAswithMarineComponents-20220316-LIVE-WEB.xlsx,Special Protection Area,2025-08-05T13:26:43.338078,,No,,,
