OBJECTID_1,Site_Name,Designation_Type,Link_to_CA,Link_to_GMA,Traffic_Light_Colour_using_80__,Notes,Number_of_Marine_Components,Perc_in_Fav_or_Unfav_Recover,GEOGRAPHIC_LOCATION,Country,EST_DATE,STATUS,SITE_CODE,LEAD,Features,Feature_Designation_Dates,Feature_Management_Approaches,Feature_Conditions,Feature_Favourable,Feature_Unfavourable_Recovering,Feature_Unfavourable_No_Change,Feature_Unfavourable_Declining,Feature_Partially_Destroyed,Feature_Destroyed,Feature_Not_Assessed
176,Mersey Narrows and North Wirral Foreshore,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9020287&SiteName=mersey%20narrows&SiteNameDisplay=Mersey+Narrows+and+North+Wirral+Foreshore+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,,Condition_Unknown,,6,,,England inshore,1/7/2013,,UK9020287,,"Bar-tailed godwit (Limosa lapponica), A157, nb; Common tern (Sterna hirundo), A193, b; Common tern (Sterna hirundo), A193, nb; Knot (Calidris canutus), A143, nb; Little gull (Hydrocoloeus minutus), A177, nb; Waterbird assemblage",05/07/2013; 05/07/2013; 05/07/2013; 05/07/2013; 05/07/2013; 05/07/2013,-; -; -; -; -; -,N; N; N; N; N; N,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
177,St Kilda,SPA,https://sitelink.nature.scot/site/8580,,Mixed_Picture,,7,0.28571,,Scotland inshore,1/8/1992,,UK9001031,,"Fulmar (Fulmarus glacialis), breeding; Gannet (Morus bassanus), breeding; Great skua (Stercorarius skua), breeding; Guillemot (Uria aalge), breeding; Kittiwake (Rissa tridactyla), breeding; Leach's petrel (Oceanodroma leucorhoa), breeding; Manx shearwater (Puffinus puffinus), breeding; Puffin (Fratercula arctica), breeding; Razorbill (Alca torda), breeding; Seabirds assemblage, breeding; Storm petrel (Hydrobates pelagicus), breeding",31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992; 31/08/1992,-; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -
178,Belfast Lough,SPA,"Condition of MPA designated features (2023) layer, available at: https://gis.daera-ni.gov.uk/arcgis/apps/webappviewer/index.html?id=e44a8e27333241bfa2faf4a387fd99d7",,Recovered/Recovering,,5,0.8,,Northern Ireland inshore,1/8/1998,,UK9020101,,"Arctic tern (Sterna paradisaea), breeding; Bar-tailed godwit (Limosa lapponica), wintering; Black-tailed godwit (Limosa limosa), wintering; Common redshank (Tringa totanus), wintering; Common tern (Sterna hirundo), breeding",05/08/1998; 05/08/1998; 05/08/1998; 05/08/1998; 05/08/1998,-; -; -; -; -,Y; Y; Y; Y; Y,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
179,Lindisfarne,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9006011&SiteName=lindisfarne&SiteNameDisplay=Lindisfarne+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,,Condition_Unknown,,17,,,England inshore,1/3/1992,,UK9006011,,"Waterbird assemblage; Whooper swan (Cygnus cygnus), A038-B, nb; Greylag goose (Anser anser), A043, nb; Light bellied brent goose (Branta bernicla hrota), A674-B, nb; Shelduck (Tadorna tadorna), A048, nb; Wigeon (Anas penelope), A050, nb; Eider (Somateria mollissima), A063, nb; Long-tailed duck (Clangula hyemalis), A064, nb; Common scoter (Melanitta nigra), A065, nb; Red-breasted merganser (Mergus serrator), A069, nb; Ringed plover (Charadrius hiaticula), A137, nb; Golden plover (Pluvialis apricaria), A140, nb; Grey plover (Pluvialis squatarola), A141, nb; Sanderling (Calidris alba), A144, nb; Dunlin (Calidris alpina alpina), A672, nb; Bar-tailed godwit (Limosa lapponica), A157, nb; Redshank (Tringa totanus), A162, nb; Roseate tern (Sterna dougallii), A192, b; Little tern (Sternula albifrons), A195, b",00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992; 00/03/1992,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
180,Minsmere-Walberswick,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9009101&SiteName=minsmere&SiteNameDisplay=Minsmere-Walberswick+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3098531?category=3229185,Condition_Unknown,,10,,,England inshore,1/5/1992,,UK9009101,,"Little tern (Sternula albifrons), A195, b; Marsh harrier (Circus aeruginosus), A081, b; Nightjar (Caprimulgus europaeus), A224, b; Avocet (Recurvirostra avosetta), A132-A, b; Teal (Anas crecca), A704, b; Shoveler (Anas clypeata), A056, nb; Bittern (Botaurus stellaris), A021, b; Gadwall (Anas strepera), A051, b; Shoveler (Anas clypeata), A056, b; Hen harrier (Circus cyaneus), A082, nb; Greater white-fronted goose (Anser albifrons albifrons), A394, nb; Gadwall (Anas strepera), A051, nb",25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998; 25/08/1998,-; -; -; -; -; -; -; -; -; -; -; -,N; N; N; N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -
181,Carlingford Lough,SPA,"Condition of MPA designated features (2023) layer, available at: https://gis.daera-ni.gov.uk/arcgis/apps/webappviewer/index.html?id=e44a8e27333241bfa2faf4a387fd99d7",,Mixed_Picture,,3,0.3333,,Northern Ireland inshore,1/3/1998,,UK9020161,,"Common tern (Sterna hirundo), breeding; Light bellied brent goose (Branta bernicla hrota), wintering; Sandwich tern (Sterna sandvicensis), breeding",09/03/1998; 09/03/1998; 09/03/1998,-; -; -,Y; Y; Y,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
182,Buchan Ness to Collieston Coast,SPA,https://sitelink.nature.scot/site/8473,,Mixed_Picture,"* Note, if non marine component seabirds were included in this may be different",3,0.666,,Scotland inshore,1/3/1998,,UK9002491,,"Fulmar (Fulmarus glacialis), breeding; Guillemot (Uria aalge), breeding; Herring gull (Larus argentatus), breeding; Kittiwake (Rissa tridactyla), breeding; Seabird assemblage, breeding; Shag (Phalacrocorax aristotelis), breeding",30/12/1998; 30/12/1998; 30/12/1998; 30/12/1998; 30/12/1998; 30/12/1998,-; -; -; -; -; -,Y; Y; Y; Y; Y; Y,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
183,Cape Wrath,SPA,https://sitelink.nature.scot/site/8481,,Mixed_Picture,,5,0.6,,Scotland inshore,1/3/1996,,UK9001231,,"Fulmar (Fulmarus glacialis), breeding; Guillemot (Uria aalge), breeding; Kittiwake (Rissa tridactyla), breeding; Puffin (Fratercula arctica), breeding; Razorbill (Alca torda), breeding; Seabird assemblage, breeding",15/03/1996; 15/03/1996; 15/03/1996; 15/03/1996; 15/03/1996; 15/03/1996,-; -; -; -; -; -,Y; Y; Y; Y; Y; Y,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
184,Flamborough and Filey Coast,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9006101&SiteName=flamb&SiteNameDisplay=Flamborough+and+Filey+Coast+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3048908?category=3229185,Condition_Unknown,,5,,,England inshore,1/3/1993,,UK9006101,,"Seabird assemblaged; Kittiwake (Rissa tridactyla), A188, b; Gannet (Morus bassanus), A016, b; Guillemot (Uria aalge), A199, b; Razorbill (Alca torda), A200, b",25/08/1998; 25/08/1998; 23/08/2018; 23/08/2018; 23/08/2018,-; -; -; -; -,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
185,Glannau Aberdaron ac Ynys Enlli/ Aberdaron Coast and Bardsey Island,SPA,https://cdn.cyfoethnaturiol.cymru/cpehr4ys/condition-assessment-for-aberdaron-coast-and-bardsey-island-spa.pdf,,Recovered/Recovering,,1,1,,Wales inshore,1/6/1992,,UK9013121,,"Chough (Pyrrhocorax pyrrhocorax), breeding; Chough (Pyrrhocorax pyrrhocorax), non-breeding; Manx shearwater (Puffinus puffinus), breeding",01/06/1992; 01/06/1992; 01/06/1992,-; -; -,Y; Y; Y,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
186,Stour and Orwell Estuaries,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9009121&SiteName=stour&SiteNameDisplay=Stour+and+Orwell+Estuaries+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3185994?category=3229185,Condition_Unknown,"Note, all Essex SPA condition assessments have been put on hold until the Outer Thames Estuary SPA condition assessment has been produced (planned March - September 2023)",9,,,England inshore,1/7/1994,,UK9009121,,"Waterbird assemblage; Dunlin (Calidris alpina alpina), A672, nb; Knot (Calidris canutus), A143, nb; Pintail (Anas acuta), A054, nb; Avocet (Recurvirostra avosetta), A132-A, b; Grey plover (Pluvialis squatarola), A141, nb; Dark-bellied brent goose (Branta bernicla bernicla), A675, nb; Redshank (Tringa totanus), A162, nb; Black-tailed godwit (Limosa limosa islandica), A616, nb",13/07/1994; 13/07/1994; 13/07/1994; 13/07/1994; 13/07/1994; 13/07/1994; 13/07/1994; 13/07/1994; 13/07/1994,-; -; -; -; -; -; -; -; -,N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -
187,"Hermaness, Saxa Vord and Valla Field",SPA,https://sitelink.nature.scot/site/8512,,Mixed_Picture,,5,0.2,,Scotland inshore,1/3/1994,,UK9002011,,"Fulmar (Fulmarus glacialis), breeding; Gannet (Morus bassanus), breeding; Great skua (Stercorarius skua), breeding; Guillemot (Uria aalge), breeding; Kittiwake (Rissa tridactyla), breeding; Puffin (Fratercula arctica), breeding; Red-throated diver (Gavia stellata), breeding; Seabird assemblage, breeding; Shag (Phalacrocorax aristotelis), breeding",31/12/2001; 31/12/2001; 31/12/2001; 31/12/2001; 31/12/2001; 31/12/2001; 31/12/2001; 31/12/2001; 31/12/2001,-; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -
188,Alde-Ore Estuary,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9009112&SiteName=alde-ore&SiteNameDisplay=Alde-Ore+Estuary+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/2908548?category=3229185,Condition_Unknown,,8,,,England inshore,1/10/1996,,UK9009112,,Coastal Saltmarshes and Saline Reedbeds; Esturine Rocky Habitats; Intertidal Coarse Sediment; Intertidal Mixed Sediments; Intertidal Mud,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
189,Moray and Nairn Coast,SPA,https://sitelink.nature.scot/site/8550,,Mixed_Picture,,7,0.571,,Scotland inshore,1/2/1997,,UK9001625,,"Bar-tailed godwit (Limosa lapponica), non-breeding; Dunlin (Calidris alpina alpina), non-breeding; Greylag goose (Anser anser), non-breeding; Osprey (Pandion haliaetus), breeding; Oystercatcher (Haematopus ostralegus), non-breeding; Pink-footed goose (Anser brachyrhynchus), non-breeding; Red-breasted merganser (Mergus serrator), non-breeding; Redshank (Tringa totanus), non-breeding; Waterfowl assemblage, non-breeding; Wigeon (Anas penelope), non-breeding",02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997; 02/02/1997,-; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -
190,Tamar Estuaries Complex,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9010141&SiteName=tamar&SiteNameDisplay=Tamar+Estuaries+Complex+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3148503?category=3229185,Condition_Unknown,,2,,,England inshore,1/6/1997,,UK9010141,,"Avocet (Recurvirostra avosetta), A132-A, nb; Little egret (Egretta garzetta), A026, nb",26/06/1997; 26/06/1997,-; -,N; N,-; -,-; -,-; -,-; -,-; -,-; -,-; -
191,Chichester and Langstone Harbours,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9011011&SiteName=chiches&SiteNameDisplay=Chichester+and+Langstone+Harbours+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3194402?category=3229185,Mixed_Picture,,19,0.26315,,England inshore,1/10/1987,,UK9011011,,"Little tern (Sternula albifrons), A195, b; Bar-tailed godwit (Limosa lapponica), A157, nb; Common tern (Sterna hirundo), A193, b; Curlew (Numenius arquata), A160, nb; Dark-bellied brent goose (Branta bernicla bernicla), A675, nb; Dunlin (Calidris alpina alpina), A672, nb; Grey plover (Pluvialis squatarola), A141, nb; Pintail (Anas acuta), A054, nb; Red-breasted merganser (Mergus serrator), A069, nb; Redshank (Tringa totanus), A162, nb; Ringed plover (Charadrius hiaticula), A137, nb; Sanderling (Calidris alba), A144, nb; Sandwich tern (Sterna sandvicensis), A191, b; Shelduck (Tadorna tadorna), A048, nb; Shoveler (Anas clypeata), A056, nb; Teal (Anas crecca), A704, nb; Turnstone (Arenaria interpres), A169, nb; Waterbird assemblage; Wigeon (Anas penelope), A050, nb",28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987; 28/10/1987,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; 100%; -; -; -; 100%; 100%; 100%; -; -; -; -; -; -; 100%; -; -,-; -; -; -; 100%; -; -; -; -; -; -; -; -; -; -; -; -; -; 100%,-; -; 100%; -; -; -; -; -; -; -; -; 100%; 100%; -; 100%; -; -; -; -,100%; 100%; -; -; -; 100%; 100%; -; -; -; 100%; -; -; 100%; -; 100%; -; 100%; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
192,Forth Islands,SPA,https://sitelink.nature.scot/site/8500,,Mixed_Picture,,6,0.66666,,Scotland inshore,1/4/1990,,UK9004171,,"Arctic tern (Sterna paradisaea), breeding; Common tern (Sterna hirundo), breeding; Cormorant (Phalacrocorax carbo), breeding; Gannet (Morus bassanus), breeding; Guillemot (Uria aalge), breeding; Herring gull (Larus argentatus), breeding; Kittiwake (Rissa tridactyla), breeding; Lesser black-backed gull (Larus fuscus), breeding; Puffin (Fratercula arctica), breeding; Razorbill (Alca torda), breeding; Roseate tern (Sterna dougallii), breeding; Sandwich tern (Sterna sandvicensis), breeding; Seabird assemblage, breeding; Shag (Phalacrocorax aristotelis), breeding",25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990; 25/04/1990,-; -; -; -; -; -; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -
193,Rum,SPA,https://sitelink.nature.scot/site/8574,,Recovered/Recovering,,5,0.6,,Scotland inshore,1/8/1982,,UK9001341,,,,,,,,,,,,
194,Isles of Scilly,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9020288&SiteName=scilly&SiteNameDisplay=Isles+of+Scilly+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/5846031572926464,Condition_Unknown,,5,,,England inshore,1/8/2001,,UK9020288,,"European shag (Phalacrocorax aristotelis), A018, b; Great black-backed gull (Larus marinus); Lesser black-backed gull (Larus fuscus), A183, b; Seabird assemblage; Storm petrel (Hydrobates pelagicus), A014, b",17/11/2020; 17/11/2020; 00/08/2001; 00/08/2001; 00/08/2001,-; -; -; -; -,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
195,The Wash,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9008021&SiteName=the%20wash&SiteNameDisplay=The+Wash+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3244315?category=3229185,Condition_Unknown,,21,0.380952381,,England inshore,1/3/1988,,UK9008021,,"Waterbird assemblage; Bar-tailed godwit (Limosa lapponica), A157, nb; Bewick's swan (Cygnus columbianus bewickii), A037, nb; Common tern (Sterna hirundo), A193, b; Turnstone (Arenaria interpres), A169, nb; Shelduck (Tadorna tadorna), A048, nb; Wigeon (Anas penelope), A050, nb; Common scoter (Melanitta nigra), A065, nb; Goldeneye (Bucephala clangula), A067, nb; Curlew (Numenius arquata), A160, nb; Redshank (Tringa totanus), A162, nb; Gadwall (Anas strepera), A051, nb; Black-tailed godwit (Limosa limosa islandica), A616, nb; Dunlin (Calidris alpina alpina), A672, nb; Knot (Calidris canutus), A143, nb; Little tern (Sternula albifrons), A195, b; Oystercatcher (Haematopus ostralegus), A130, nb; Pintail (Anas acuta), A054, nb; Grey plover (Pluvialis squatarola), A141, nb; Sanderling (Calidris alba), A144, nb; Pink-footed goose (Anser brachyrhynchus), A040, nb; Dark-bellied brent goose (Branta bernicla bernicla), A675, nb",01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988; 01/03/1988,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,N; Y; Y; N; N; N; Y; N; Y; N; Y; N; Y; N; Y; N; N; N; Y; Y; Y; Y,-; 100%; -; -; -; -; 100%; -; -; -; 100%; -; 100%; -; 100%; -; -; -; 100%; 100%; 100%; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; 100%; -; -; -; -; -; 100%; -; -; -; -; -; -; -; -; -; -; -; -; 100%,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
196,Inner Clyde Estuary,SPA,https://sitelink.nature.scot/site/8514,,Recovered/Recovering,,1,1,,Scotland inshore,1/3/2000,,UK9003061,,"Redshank (Tringa totanus), non-breeding",27/03/2000,-,Y,-,-,-,-,-,-,-
197,Poole Harbour,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9010111&SiteName=poole&SiteNameDisplay=Poole+Harbour+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3152751?category=3229185,Degraded/Degrading,,9,,,England inshore,1/3/1999,,UK9010111,,"Avocet (Recurvirostra avosetta), A132-A, nb; Black-tailed godwit (Limosa limosa islandica), A616, nb; Common tern (Sterna hirundo), A193, b; Little egret (Egretta garzetta), A026, nb; Mediterranean gull (Larus melanocephalus), A176, nb; Sandwich tern (Sterna sandvicensis), A191, b; Shelduck (Tadorna tadorna), A048, nb; Spoonbill (Platalea leucorodia leucorodia), A034, nb; Waterbird assemblage",31/03/1999; 31/03/1999; 31/03/1999; 31/10/2017; 31/03/1999; 31/10/2017; 31/03/1999; 31/10/2017; 31/03/1999,-; -; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,100%; 100%; 100%; 100%; 100%; 100%; -; 100%; -,-; -; -; -; -; -; 100%; -; 100%,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -
198,Bae Caerfyrddin/ Carmarthen Bay,SPA,https://cdn.cyfoethnaturiol.cymru/eggpy5x3/condition-assessment-for-carmarthen-bay-spa.pdf,,Recovered/Recovering,,1,1,,Wales inshore,1/6/2003,,UK9014091,,"Common scoter (Melanitta nigra), wintering",1/6/2003,-,Y,-,-,-,-,-,-,-
199,The Dee Estuary,SPA,https://cdn.cyfoethnaturiol.cymru/media/683655/special-protection-areas-in-welsh-waters.pdf,http://publications.naturalengland.org.uk/publication/2986296?category=3229185,Mixed_Picture,,16,0.5625,,England inshore & Wales inshore,1/7/1985,,UK9013011,,Coastal Saltmarshes and Saline Reedbeds; Esturine Rocky Habitats; Intertidal Coarse Sediment; Intertidal Mixed Sediments; Intertidal Mud,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
200,The Swale,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9012011&SiteName=the%20swale&SiteNameDisplay=The+Swale+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3199226?category=3229185,Condition_Unknown,,3,,,England inshore,1/8/1982,,UK9012011,,"Waterbird assemblage; Breeding bird assemblage; Dunlin (Calidris alpina alpina), A672, nb; Dark-bellied brent goose (Branta bernicla bernicla), A675, nb",00/08/1982; 00/08/1982; 00/08/1982; 00/08/1982,-; -; -; -,N; N; N; N,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
201,Thanet Coast and Sandwich Bay,SPA,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UK9012071&SiteName=thanet&SiteNameDisplay=Thanet+Coast+and+Sandwich+Bay+SPA&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/3217253?category=3229185,Degraded/Degrading,,2,,,England inshore,1/7/1994,,UK9012071,,"Golden plover (Pluvialis apricaria), A140, nb; Little tern (Sternula albifrons), A195, b; Turnstone (Arenaria interpres), A169, nb",28/07/1994; 28/07/1994; 28/07/1994,-; -; -,Y; Y; Y,-; -; -,-; -; -,-; -; -,100%; 100%; 100%,-; -; -,-; -; -,-; -; -
202,"Ythan Estuary, Sands of Forvie and Meikle Loch",SPA,https://sitelink.nature.scot/site/8592,,Mixed_Picture,,6,0.5,,Scotland inshore,1/3/1998,,UK9002221,,"Common tern (Sterna hirundo), breeding; Eider (Somateria mollissima), non-breeding; Lapwing (Vanellus vanellus), non-breeding; Little tern (Sternula albifrons), breeding; Pink-footed goose (Anser brachyrhynchus), non-breeding; Redshank (Tringa totanus), non-breeding; Sandwich tern (Sterna sandvicensis), breeding; Waterfowl assemblage, non-breeding",30/03/1998; 30/03/1998; 30/03/1998; 30/03/1998; 30/03/1998; 30/03/1998; 30/03/1998; 30/03/1998,-; -; -; -; -; -; -; -,Y; Y; Y; Y; Y; Y; Y; Y,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -
203,Hoy,SPA,https://sitelink.nature.scot/site/8513,,Degraded/Degrading,,4,,,Scotland inshore,1/12/2000,,UK9002141,,,,,,,,,,,,
